Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Fatty Acid Metabolism	33/176	2.18266505221257e-10	2.41085276221661e-08	33	0.1875	ACSM3;HPGD;CYP4A22;CYP2C19;PTGS2;PTGS1;ACADL;CPT2;MLYCD;ACAA1;PTGDS;HAO2;ACADS;CBR4;CYP2J2;PTGIS;MMAA;CYP4F2;EPHX2;CYP4A11;SCD5;ACOT12;FAAH2;PLA2G4A;CYP8B1;CYP2C9;CYP2C8;CYP1A2;TBXAS1;DPEP2;CYP1A1;THRSP;SLC27A2
Interleukin-10 Signaling	15/46	7.66947520172963e-09	7.36251281893888e-07	15	0.326086956521739	CCR1;CD80;FPR1;IL18;CXCL1;PTGS2;CXCL2;IL6;IL8;CCL5;IL1B;CCL4;CCL3;CCL2;CCL19
CYP2E1 Reactions	8/11	9.00434921697211e-09	7.36251281893888e-07	8	0.727272727272727	CYP2A7;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2S1;CYP2E1;CYP2C19
Lectin Pathway of Complement Activation	7/8	9.08952199868998e-09	7.36251281893888e-07	7	0.875	COLEC11;FCN2;COLEC10;FCN3;MASP2;MASP1;MBL2
Synthesis of Epoxy (EET) and Dihydroxyeicosatrienoic Acids (DHET)	7/8	9.08952199868998e-09	7.36251281893888e-07	7	0.875	CYP2J2;CYP2C9;CYP2C8;EPHX2;CYP1A2;CYP1A1;CYP2C19
Initial Triggering of Complement	22/104	2.26307984532811e-08	1.71852625754603e-06	22	0.211538461538462	C1QB;CRP;FCN2;C1QA;COLEC11;FCN3;COLEC10;IGKV1-5;CFP;IGHG3;IGHG4;IGLV3-25;IGHG1;IGHG2;IGLV6-57;IGKC;MASP2;MASP1;IGKV3-20;IGLV3-19;MBL2;C1QC
Creation of C4 and C2 Activators	21/96	2.52640803366897e-08	1.80563868288694e-06	21	0.21875	C1QB;CRP;FCN2;C1QA;COLEC11;FCN3;COLEC10;IGKV1-5;IGHG3;IGHG4;IGLV3-25;IGHG1;IGHG2;IGKC;IGLV6-57;MASP2;MASP1;IGLV3-19;IGKV3-20;MBL2;C1QC
Synthesis of (16-20)-Hydroxyeicosatetraenoic Acids (HETE)	7/9	3.90112156221515e-08	2.63325705449522e-06	7	0.777777777777778	CYP2C9;CYP2C8;CYP4F2;CYP1A2;CYP4A11;CYP1A1;CYP2C19
Biosynthesis of DHA-derived SPMs	9/17	5.49182363570841e-08	3.51187669336091e-06	9	0.529411764705882	CYP2C9;CYP2C8;HPGD;EPHX2;CYP1A2;CYP1A1;CYP2E1;CYP3A4;PTGS2
Biosynthesis of Specialized Proresolving Mediators (SPMs)	9/19	1.89397846981461e-07	1.15059192041238e-05	9	0.473684210526316	CYP2C9;CYP2C8;HPGD;EPHX2;CYP1A2;CYP1A1;CYP2E1;CYP3A4;PTGS2
Aspirin ADME	13/43	2.11088863366114e-07	1.22129985233251e-05	13	0.302325581395349	UGT2B10;BCHE;GLYATL1;UGT2B15;GLYAT;CYP2C19;CYP3A4;CYP2C9;CYP2C8;UGT3A1;CYP2E1;SLC22A7;UGT2B7
