Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Positive Regulation of Multicellular Organismal Process (GO:0051240)	35/407	0.00369117813929746	0.0460755943025046	35	0.085995085995086	ITK;SERPINE1;ADRB1;OXT;CLEC9A;PTN;DBH;LILRA2;ADRA1A;LILRA5;PLAC8;GHR;ACADL;CPT2;TBXA2R;TRPM8;IL33;TGFB3;NFAM1;CRTAM;IL18;ESRRG;LILRB2;APOA5;EREG;GADD45G;OLFM1;TIAM1;IL6;CXCL12;IRF4;IL1B;SNAI1;PEMT;ALPL
Regulation of Platelet Activation (GO:0010543)	6/29	0.00371540947598254	0.0461996878301983	6	0.206896551724138	THBD;PDGFRA;C1QTNF1;PLA2G4A;SVEP1;TLR4
Regulation of Bone Mineralization (GO:0030500)	9/59	0.00378797243288283	0.0469215129329892	9	0.152542372881356	CCR1;ECM1;CCL3;PTN;SGMS2;FGF23;SLC8A1;GPM6B;BMP6
L-amino Acid Catabolic Process (GO:0170035)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	HAL;UROC1;AGXT2;SHMT1
Epigenetic Programming of Gene Expression (GO:0043045)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	DIRAS3;ZDBF2;DNMT3L;IGF2
Negative Regulation of Bone Mineralization (GO:0030502)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	CCR1;ECM1;CCL3;FGF23
Negative Regulation of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040037)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	SPRY2;GATA3;THBS1;SULF2
Negative Regulation of Interleukin-12 Production (GO:0032695)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	IRAK3;LILRB1;THBS1;LILRA5
Non-Proteinogenic Amino Acid Catabolic Process (GO:0170044)	4/13	0.0038814808195147	0.0469993538932248	4	0.307692307692308	AGXT2;SARDH;PRODH;OTC
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	11/82	0.00404803502118989	0.048833198595175	11	0.134146341463415	IL33;IL6;FCGR3B;PTPRC;CCL3;CCL19;LILRA2;FCGR2B;TLR4;THBS1;LILRA5
